c_ClaveProdServ,Descripción,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,FechaInicioVigencia,FechaFinVigencia,Estímulo Franja Fronteriza,Palabras similares
15101506,Gasolina,Opcional,Opcional,,43472,43845,1,
15101514,Gasolina regular menor a 91 octanos,Sí,Opcional,,43846,,1,
15101515,Gasolina premium mayor o igual a 91 octanos,Sí,Opcional,,43846,,1,
15111512,Gas natural,Sí,Opcional,,43846,,1,
80111700,Reclutamiento de personal,Sí,Opcional,,43472,,1,Servicios de agencias de colocación de personal
80111701,Servicios de contratación de personal,Sí,Opcional,,43472,,1,"Servicios de outsourcing, Servicios de subcontratación de personal"
01010101,No existe en el catálogo,Opcional,Opcional,,43472,,0,Público en general
10101500,Animales vivos de granja,Opcional,Opcional,,43472,,1,
10101501,Gatos vivos,Opcional,Opcional,,43472,,1,
10101502,Perros,Opcional,Opcional,,43472,,1,
10101504,Visón,Opcional,Opcional,,43472,,1,
10101505,Ratas,Opcional,Opcional,,43472,,1,
10101506,Caballos,Opcional,Opcional,,43472,,1,"Equinos, Potrancas, Potras, Potrillos, Potros, Yeguas"
10101507,Ovejas,Opcional,Opcional,,43472,,1,"Borregos, Carneros"
10101508,Cabras,Opcional,Opcional,,43472,,1,"Borregos cimarrones, Cabritos, Cabros, Carnero de las Rocosas, Chivas, Chivatos, Chivos, Irascos, Machos cabríos, Chivos"
10101509,Asnos,Opcional,Opcional,,43472,,1,"Borricos, Burros"
10101510,Ratones,Opcional,Opcional,,43472,,1,
10101511,Cerdos,Opcional,Opcional,,43472,,1,"Cerdo montés, Chanchos, Chanchos almizcleros, Chanchos de monte, Cochinillos, Cochinos, Cochinos de monte, Cuche, Cuinos, Gorrinos, Jabalíes americanos, Lechones, Cochinos de monte, Pecaríes, Porcinos, Puercos, Puercos de monte, Tayatos"
10101512,Conejos,Opcional,Opcional,,43472,,1,Liebres
10101513,Cobayas o conejillos de indias,Opcional,Opcional,,43472,,1,"Chanchito de Indias, Cobayos, Cuilo, Cuyo"
10101514,Primates,Opcional,Opcional,,43472,,1,"Changos, Chimpancés, Gorilas, Lémures, Macacos, Micos, Monos, Orangutanes, Simios, Monos"
10101515,Armadillos,Opcional,Opcional,,43472,,1,Toches
10101516,Ganado vacuno,Opcional,Opcional,,43472,,1,"Bueyes, Búfalos, Cebús, Otros vacunos o bovinos, Toros, Vacas"
10101517,Camellos,Opcional,Opcional,,43472,,1,Dromedarios
10101600,Pájaros y aves de corral vivos,Opcional,Opcional,,43472,,1,
10101601,Pollos vivos,Opcional,Opcional,,43472,,1,"Gallinas, Gallinas de guinea, Gallos, Pintadas, Pollitos"
10101602,Patos vivos,Opcional,Opcional,,43472,,1,
10101603,Pavos vivos,Opcional,Opcional,,43472,,1,"Gallipavos, Guajolotes, Pavos salvajes"
10101604,Gansos vivos,Opcional,Opcional,,43472,,1,
10101605,Faisanes vivos,Opcional,Opcional,,43472,,1,
10101700,Peces vivos,Opcional,Opcional,,43472,,1,
10101701,Salmones vivos,Opcional,Opcional,,43472,,1,
10101702,Trucha viva,Opcional,Opcional,,43472,,1,
10101703,Tilapia viva,Opcional,Opcional,,43472,,1,Mojarra
