"Catálogo de aduanas (tomado del anexo 22, apéndice I de la RGCE 2017).",,,,
Versión,Revisión,,,
1.0,1,,,
,,,,
c_Aduana,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia,
01,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO.",42736,,
02,"AGUA PRIETA, AGUA PRIETA, SONORA.",42736,,
05,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO.",42736,,
06,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE.",42736,,
07,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA.",42736,,
08,"COATZACOALCOS, COATZACOALCOS, VERACRUZ.",42736,,
11,"ENSENADA, ENSENADA, BAJA CALIFORNIA.",42736,,
12,"GUAYMAS, GUAYMAS, SONORA.",42736,,
14,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR.",42736,,
16,"MANZANILLO, MANZANILLO, COLIMA.",42736,,
17,"MATAMOROS, MATAMOROS, TAMAULIPAS.",42736,,
18,"MAZATLAN, MAZATLAN, SINALOA.",42736,,
19,"MEXICALI, MEXICALI, BAJA CALIFORNIA.",42736,,
20,"MEXICO, DISTRITO FEDERAL.",42736,,
22,"NACO, NACO, SONORA.",42736,,
23,"NOGALES, NOGALES, SONORA.",42736,,
24,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.",42736,,
25,"OJINAGA, OJINAGA, CHIHUAHUA.",42736,,
26,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA.",42736,,
27,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA.",42736,,
28,"PROGRESO, PROGRESO, YUCATAN.",42736,,
30,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS.",42736,,
31,"SALINA CRUZ, SALINA CRUZ, OAXACA.",42736,,
33,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA.",42736,,
34,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS.",42736,,
37,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS.",42736,,
38,"TAMPICO, TAMPICO, TAMAULIPAS.",42736,,
39,"TECATE, TECATE, BAJA CALIFORNIA.",42736,,
40,"TIJUANA, TIJUANA, BAJA CALIFORNIA.",42736,,
42,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ.",42736,,
43,"VERACRUZ, VERACRUZ, VERACRUZ.",42736,,
44,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA.",42736,,
46,"TORREON, TORREON, COAHUILA.",42736,,
47,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,",42736,,
48,"GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO.",42736,,
50,"SONOYTA, SONOYTA, SONORA.",42736,,
51,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN.",42736,,
52,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON.",42736,,
53,"CANCUN, CANCUN, QUINTANA ROO.",42736,,
64,"QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO.",42736,,
65,"TOLUCA, TOLUCA, ESTADO DE MEXICO.",42736,,
67,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA.",42736,,
73,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES.",42736,,
75,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA.",42736,,
80,"COLOMBIA, COLOMBIA, NUEVO LEON.",42736,,
81,"ALTAMIRA, ALTAMIRA, TAMAULIPAS.",42736,,
82,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS.",42736,,
83,"DOS BOCAS, PARAISO, TABASCO.",42736,,
84,"GUANAJUATO, SILAO, GUANAJUATO.",42736,,
